# Chunk-averaged data for fix avegroupC and group groupC
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 1500 189.99999999999972
  269 5.37 0.005 0.000277778
  270 5.39 0.0047 0.000261111
  271 5.41 0.0047 0.000261111
  272 5.43 0.0049 0.000272222
  273 5.45 0.0049 0.000272222
  274 5.47 0.0047 0.000261111
  275 5.49 0.0048 0.000266667
  276 5.51 0.0051 0.000283333
  277 5.53 0.0047 0.000261111
  278 5.55 0.0048 0.000266667
  279 5.57 0.005 0.000277778
  280 5.59 0.005 0.000277778
  281 5.61 0.0048 0.000266667
  282 5.63 0.005 0.000277778
  283 5.65 0.0046 0.000255556
  284 5.67 0.0053 0.000294444
  285 5.69 0.0049 0.000272222
  286 5.71 0.005 0.000277778
  287 5.73 0.0052 0.000288889
  288 5.75 0.0047 0.000261111
  289 5.77 0.005 0.000277778
  290 5.79 0.0052 0.000288889
  291 5.81 0.0051 0.000283333
  292 5.83 0.0051 0.000283333
  293 5.85 0.0051 0.000283333
  294 5.87 0.0054 0.0003
  295 5.89 0.0055 0.000305556
  296 5.91 0.0053 0.000294444
  297 5.93 0.0056 0.000311111
  298 5.95 0.0059 0.000327778
  299 5.97 0.0056 0.000311111
  300 5.99 0.0063 0.00035
  301 6.01 0.0065 0.000361111
  302 6.03 0.0066 0.000366667
  303 6.05 0.0072 0.0004
  304 6.07 0.0066 0.000366667
  305 6.09 0.0067 0.000372222
  306 6.11 0.0065 0.000361111
  307 6.13 0.0062 0.000344444
  308 6.15 0.0064 0.000355556
  309 6.17 0.0061 0.000338889
  310 6.19 0.0061 0.000338889
  311 6.21 0.0062 0.000344444
  312 6.23 0.0061 0.000338889
  313 6.25 0.0061 0.000338889
  314 6.27 0.0059 0.000327778
  315 6.29 0.0059 0.000327778
  316 6.31 0.006 0.000333333
  317 6.33 0.0062 0.000344444
  318 6.35 0.0059 0.000327778
  319 6.37 0.0058 0.000322222
  320 6.39 0.0065 0.000361111
  321 6.41 0.0059 0.000327778
  322 6.43 0.0067 0.000372222
  323 6.45 0.0063 0.00035
  324 6.47 0.0064 0.000355556
  325 6.49 0.0068 0.000377778
  326 6.51 0.0072 0.0004
  327 6.53 0.0072 0.0004
  328 6.55 0.0076 0.000422222
  329 6.57 0.0074 0.000411111
  330 6.59 0.0076 0.000422222
  331 6.61 0.0075 0.000416667
  332 6.63 0.0071 0.000394444
  333 6.65 0.007 0.000388889
  334 6.67 0.0075 0.000416667
  335 6.69 0.0068 0.000377778
  336 6.71 0.0071 0.000394444
  337 6.73 0.0076 0.000422222
  338 6.75 0.008 0.000444444
  339 6.77 0.0076 0.000422222
  340 6.79 0.0078 0.000433333
  341 6.81 0.0079 0.000438889
  342 6.83 0.008 0.000444444
  343 6.85 0.0083 0.000461111
  344 6.87 0.0083 0.000461111
  345 6.89 0.0085 0.000472222
  346 6.91 0.0089 0.000494444
  347 6.93 0.0087 0.000483333
  348 6.95 0.0091 0.000505556
  349 6.97 0.0091 0.000505556
  350 6.99 0.0089 0.000494444
  351 7.01 0.0089 0.000494444
  352 7.03 0.0087 0.000483333
  353 7.05 0.0086 0.000477778
  354 7.07 0.0089 0.000494444
  355 7.09 0.0087 0.000483333
  356 7.11 0.0089 0.000494444
  357 7.13 0.0089 0.000494444
  358 7.15 0.0089 0.000494444
  359 7.17 0.0094 0.000522222
  360 7.19 0.009 0.0005
  361 7.21 0.0095 0.000527778
  362 7.23 0.0098 0.000544444
  363 7.25 0.0099 0.00055
  364 7.27 0.0101 0.000561111
  365 7.29 0.0103 0.000572222
  366 7.31 0.0109 0.000605556
  367 7.33 0.011 0.000611111
  368 7.35 0.0124 0.000688889
  369 7.37 0.0156 0.000866667
  370 7.39 0.0059 0.000327778
  371 7.41 0.0059 0.000327778
  372 7.43 0.006 0.000333333
  373 7.45 0.0059 0.000327778
  374 7.47 0.0063 0.00035
  375 7.49 0.006 0.000333333
  376 7.51 0.0065 0.000361111
  377 7.53 0.0063 0.00035
  378 7.55 0.0068 0.000377778
  379 7.57 0.0066 0.000366667
  380 7.59 0.0069 0.000383333
  381 7.61 0.007 0.000388889
  382 7.63 0.0071 0.000394444
  383 7.65 0.007 0.000388889
  384 7.67 0.0071 0.000394444
  385 7.69 0.0072 0.0004
  386 7.71 0.0068 0.000377778
  387 7.73 0.007 0.000388889
  388 7.75 0.0065 0.000361111
  389 7.77 0.0071 0.000394444
  390 7.79 0.0068 0.000377778
  391 7.81 0.0071 0.000394444
  392 7.83 0.0066 0.000366667
  393 7.85 0.007 0.000388889
  394 7.87 0.0071 0.000394444
  395 7.89 0.0072 0.0004
  396 7.91 0.0073 0.000405556
  397 7.93 0.0077 0.000427778
  398 7.95 0.0287 0.00159444
  399 7.97 0.0108 0.0006
  400 7.99 0.0097 0.000538889
  401 8.01 0.0088 0.000488889
  402 8.03 0.009 0.0005
  403 8.05 0.0101 0.000561111
  404 8.07 0.0098 0.000544444
  405 8.09 0.0051 0.000283333
  406 8.11 0.0048 0.000266667
  407 8.13 0.0051 0.000283333
  408 8.15 0.0053 0.000294444
  409 8.17 0.005 0.000277778
  410 8.19 0.0054 0.0003
  411 8.21 0.0053 0.000294444
  412 8.23 0.0052 0.000288889
  413 8.25 0.0054 0.0003
  414 8.27 0.0055 0.000305556
  415 8.29 0.0059 0.000327778
  416 8.31 0.0056 0.000311111
  417 8.33 0.006 0.000333333
  418 8.35 0.0058 0.000322222
  419 8.37 0.0063 0.00035
  420 8.39 0.0066 0.000366667
  421 8.41 0.0065 0.000361111
  422 8.43 0.0066 0.000366667
  423 8.45 0.007 0.000388889
  424 8.47 0.0071 0.000394444
  425 8.49 0.0078 0.000433333
  426 8.51 0.0089 0.000494444
  427 8.53 0.0115 0.000638889
  428 8.55 0.0119 0.000661111
  429 8.57 0.0092 0.000511111
  430 8.59 0.0092 0.000511111
  431 8.61 0.0096 0.000533333
  432 8.63 0.0099 0.00055
  433 8.65 0.0092 0.000511111
  434 8.67 0.0097 0.000538889
  435 8.69 0.0112 0.000622222
  436 8.71 0.0057 0.000316667
  437 8.73 0.0059 0.000327778
  438 8.75 0.007 0.000388889
  439 8.77 0.007 0.000388889
  440 8.79 0.0074 0.000411111
  441 8.81 0.0073 0.000405556
  442 8.83 0.0067 0.000372222
  443 8.85 0.0063 0.00035
  444 8.87 0.0066 0.000366667
  445 8.89 0.0071 0.000394444
  446 8.91 0.0073 0.000405556
  447 8.93 0.0086 0.000477778
  448 8.95 0.0109 0.000605556
  449 8.97 0.0037 0.000205556
  450 8.99 0.0036 0.0002
  451 9.01 0.0036 0.0002
  452 9.03 0.0036 0.0002
  453 9.05 0.0034 0.000188889
  454 9.07 0.0035 0.000194444
  455 9.09 0.0034 0.000188889
  456 9.11 0.0033 0.000183333
  457 9.13 0.0035 0.000194444
  458 9.15 0.0033 0.000183333
  459 9.17 0.0033 0.000183333
  460 9.19 0.0031 0.000172222
  461 9.21 0.0031 0.000172222
  462 9.23 0.0029 0.000161111
  463 9.25 0.003 0.000166667
  464 9.27 0.0027 0.00015
  465 9.29 0.0029 0.000161111
  466 9.31 0.0026 0.000144444
  467 9.33 0.0028 0.000155556
  468 9.35 0.0028 0.000155556
  469 9.37 0.0026 0.000144444
  470 9.39 0.0028 0.000155556
  471 9.41 0.0027 0.00015
  472 9.43 0.0157 0.000872222
  473 9.45 0.0095 0.000527778
  474 9.47 0.008 0.000444444
  475 9.49 0.008 0.000444444
  476 9.51 0.0088 0.000488889
  477 9.53 0.0097 0.000538889
  478 9.55 0.0106 0.000588889
  479 9.57 0.0082 0.000455556
  480 9.59 0.0069 0.000383333
  481 9.61 0.007 0.000388889
  482 9.63 0.0072 0.0004
  483 9.65 0.0073 0.000405556
  484 9.67 0.0078 0.000433333
  485 9.69 0.0098 0.000544444
  486 9.71 0.0114 0.000633333
  487 9.73 0.0148 0.000822222
  488 9.75 0.0187 0.00103889
  489 9.77 0.005 0.000277778
  490 9.79 0.0051 0.000283333
  491 9.81 0.0056 0.000311111
  492 9.83 0.0068 0.000377778
  493 9.85 0.0077 0.000427778
  494 9.87 0.0086 0.000477778
  495 9.89 0.0075 0.000416667
  496 9.91 0.0059 0.000327778
  497 9.93 0.0051 0.000283333
  498 9.95 0.0047 0.000261111
  499 9.97 0.0044 0.000244444
  500 9.99 0.0039 0.000216667
  501 10.01 0.0041 0.000227778
  502 10.03 0.0036 0.0002
  503 10.05 0.0035 0.000194444
  504 10.07 0.0036 0.0002
  505 10.09 0.0188 0.00104444
  506 10.11 0.0117 0.00065
  507 10.13 0.0108 0.0006
  508 10.15 0.0126 0.0007
  509 10.17 0.0271 0.00150556
  510 10.19 0.0088 0.000488889
  511 10.21 0.0161 0.000894444
  512 10.23 0.0126 0.0007
  513 10.25 0.0113 0.000627778
  514 10.27 0.0107 0.000594444
  515 10.29 0.0113 0.000627778
  516 10.31 0.0128 0.000711111
  517 10.33 0.0114 0.000633333
  518 10.35 0.01 0.000555556
  519 10.37 0.01 0.000555556
  520 10.39 0.0119 0.000661111
  521 10.41 0.0278 0.00154444
  522 10.43 0.0102 0.000566667
  523 10.45 0.0092 0.000511111
  524 10.47 0.009 0.0005
  525 10.49 0.0087 0.000483333
  526 10.51 0.0087 0.000483333
  527 10.53 0.0086 0.000477778
  528 10.55 0.0088 0.000488889
  529 10.57 0.0194 0.00107778
  530 10.59 0.0145 0.000805556
  531 10.61 0.015 0.000833333
  532 10.63 0.0255 0.00141667
  533 10.65 0.016 0.000888889
  534 10.67 0.0138 0.000766667
  535 10.69 0.0126 0.0007
  536 10.71 0.0122 0.000677778
  537 10.73 0.0269 0.00149444
  538 10.75 0.0281 0.00156111
  539 10.77 0.0282 0.00156667
  540 10.79 0.0187 0.00103889
  541 10.81 0.0146 0.000811111
  542 10.83 0.0201 0.00111667
