# Chunk-averaged data for fix avegroupO and group groupO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 1500 379.9999999999999
  435 8.69 0.0244 0.00135556
  436 8.71 0.0122 0.000677778
  437 8.73 0.0181 0.00100556
  438 8.75 0.0188 0.00104444
  439 8.77 0.0123 0.000683333
  440 8.79 0.0126 0.0007
  441 8.81 0.0135 0.00075
  442 8.83 0.0173 0.000961111
  443 8.85 0.0156 0.000866667
  444 8.87 0.0136 0.000755556
  445 8.89 0.0124 0.000688889
  446 8.91 0.012 0.000666667
  447 8.93 0.012 0.000666667
  448 8.95 0.0133 0.000738889
  449 8.97 0.018 0.001
  450 8.99 0.0145 0.000805556
  451 9.01 0.0138 0.000766667
  452 9.03 0.0135 0.00075
  453 9.05 0.0138 0.000766667
  454 9.07 0.0141 0.000783333
  455 9.09 0.0153 0.00085
  456 9.11 0.0261 0.00145
  457 9.13 0.0272 0.00151111
  458 9.15 0.0124 0.000688889
  459 9.17 0.0209 0.00116111
  460 9.19 0.0176 0.000977778
  461 9.21 0.0186 0.00103333
  462 9.23 0.0219 0.00121667
  463 9.25 0.0201 0.00111667
  464 9.27 0.02 0.00111111
  465 9.29 0.0235 0.00130556
  466 9.31 0.0219 0.00121667
  467 9.33 0.0186 0.00103333
  468 9.35 0.0184 0.00102222
  469 9.37 0.0163 0.000905556
  470 9.39 0.015 0.000833333
  471 9.41 0.0214 0.00118889
  472 9.43 0.0227 0.00126111
  473 9.45 0.0231 0.00128333
  474 9.47 0.0228 0.00126667
  475 9.49 0.0251 0.00139444
  476 9.51 0.0249 0.00138333
  477 9.53 0.0304 0.00168889
  478 9.55 0.0202 0.00112222
  479 9.57 0.0187 0.00103889
  480 9.59 0.027 0.0015
  481 9.61 0.0455 0.00252778
  482 9.63 0.0222 0.00123333
  483 9.65 0.0227 0.00126111
  484 9.67 0.0248 0.00137778
  485 9.69 0.0206 0.00114444
  486 9.71 0.0216 0.0012
  487 9.73 0.0231 0.00128333
  488 9.75 0.025 0.00138889
  489 9.77 0.0201 0.00111667
  490 9.79 0.0349 0.00193889
  491 9.81 0.0224 0.00124444
  492 9.83 0.0121 0.000672222
